ASID,Rotation,TYPE,ASSET_ID,SOURCE_ID,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,DEP_DAS_ID,CONDITION_,RISK_RATIN,INSP1,DATE_INSP1,INSP2,DATE_INSP2,INSP3,DATE_INSP3,INSP4,DATE_INSP4,INSP5,DATE_INSP5,INSP6,DATE_INSP6,INSP7,DATE_INSP7,INSP8,DATE_INSP8,INSP9,DATE_INSP9,INSP10,DATE_INS00,LAST_MAINT,ASSET_INFO,CONSQ_FAIL,SRVY_DATE,SRVY_TIME,SECTION,XSP,STCHAIN,ENDCHAIN,START_DATE,_DBFOCode,_Source,CreateDate,UserID
"1","0","","*","2600000001","ASPHALT","340.108339638","1.500000000","445333.687531201","521566.782316805","445467.686264216","521257.910730377","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","L2","626.150000000","970.760000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"2","0","","*","2600000002","ASPHALT","130.852153659","1.500000000","445511.220186829","522079.875445425","445433.840288396","521974.375644429","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","L2","18.700000000","150.250000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"3","0","","*","2600000003","ASPHALT","13.268453006","1.500000000","445519.374552258","522090.342449276","445511.220186829","522079.875445425","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","L2","5.600000000","18.700000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"4","0","","*","2600000004","ASPHALT","9.207437493","1.200000000","445518.566536271","522086.153648308","445526.597225783","522081.714918881","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","LB","2.530000000","9.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"5","0","","*","2600000005","ASPHALT","9.139900531","2.000000000","445345.840751264","521473.059144784","445353.813725348","521468.590423942","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/396","L1","720.690000000","727.880000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"6","0","","*","2600000006","ASPHALT","328.281315614","2.000000000","441458.343912462","541802.379937240","441508.061630901","541477.932809264","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/615","L1","0.000000000","342.790000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"7","0","","*","2600000007","ASPHALT","86.182606056","1.500000000","441508.061630901","541477.932809264","441513.404430495","541391.997408017","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/615","L2","342.790000000","432.660000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"8","0","","*","2600000008","ASPHALT","40.251316472","1.500000000","441513.841418733","541382.370163787","441514.278406971","541342.121684794","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/615","L2","442.740000000","484.750000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"9","0","","*","2600000009","ASPHALT","106.314516274","1.500000000","441514.253671788","541335.433599239","441514.558739049","541229.124030036","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/615","L2","491.750000000","603.790000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"10","0","","*","2600000010","ASPHALT","16.927300921","2.000000000","441514.558739049","541229.124030036","441519.687167054","541212.998645879","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/615","L2","603.790000000","622.390000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"11","0","","*","2600000011","ASPHALT","2.916288784","2.000000000","441519.687167054","541212.998645879","441520.660084264","541210.249432833","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1300A19/615","L1","622.390000000","625.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
