ASID,Rotation,TYPE,ASSET_ID,SOURCE_ID,ACCESS,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,DEP_DAS_ID,CONDITION_,RISK_RATIN,SWEEPING_M,SWEEPING_I,INSP1,DATE_INSP1,INSP2,DATE_INSP2,INSP3,DATE_INSP3,INSP4,DATE_INSP4,INSP5,DATE_INSP5,INSP6,DATE_INSP6,INSP7,DATE_INSP7,INSP8,DATE_INSP8,INSP9,DATE_INSP9,INSP10,DATE_INS00,LAST_MAINT,ASSET_INFO,CONSQ_FAIL,SRVY_DATE,SRVY_TIME,SECTION,XSP,STCHAIN,ENDCHAIN,START_DATE,_DBFOCode,_Source,CreateDate,UserID
"1","0","","*","2600000001","","CONCRETE","94.013668165","2.000000000","442102.777888123","479147.654665789","442138.437777386","479234.589780871","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A168/232","L1","455.240000000","549.800000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"2","0","","*","2600000002","","CONCRETE","2.856221483","0.600000000","442101.903911647","479144.935444158","442102.777888123","479147.654665789","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A168/232","L1","452.370000000","455.240000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"3","0","","*","2600000003","","ASPHALT","28.743138568","1.000000000","439570.686643731","474854.433587539","439592.783407482","474872.808327824","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A168/140","L1","665.940000000","694.200000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"4","0","","*","2600000004","","ASPHALT","2.441307504","2.000000000","442497.188630956","485222.875651871","442497.089690222","485225.314953628","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/706","L1","0.000000000","156.440000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"5","0","","*","2600000005","","ASPHALT","143.226694029","1.500000000","442501.657454073","485079.746622129","442497.188630956","485222.875651871","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2700A19/706","L2","10.880000000","154.010000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"6","0","","*","2600000006","","ASPHALT","132.276459765","1.400000000","447204.747491934","520301.404527430","447264.845742300","520184.028126075","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/384","L1","0.520000000","133.950000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"7","0","","*","2600000007","","ASPHALT","15.504507913","1.400000000","447195.686169784","520313.940938919","447204.747491934","520301.404527430","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/386","L1","336.210000000","352.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"8","0","","*","2600000008","","ASPHALT","15.869023627","3.300000000","447056.468313092","517225.904880046","447045.090128773","517214.938019277","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/372","L1","0.000000000","11.220000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"9","0","","*","2600000009","","ASPHALT","10.467258213","3.000000000","447089.127000114","517332.594340506","447090.314288912","517322.317282283","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/376","L1","78.830000000","86.000000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
"10","0","","*","2600000010","","ASPHALT","39.415755759","1.000000000","447171.627081491","520345.152004845","447195.686169784","520313.940938919","01-JAN-1000","0011","DBFO (AREA) 26","AUTOLINK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0700A19/386","L1","294.750000000","336.210000000","01-JAN-1000","DBFO26","ADC","27/09/2018 09:38:44","0"
