FROM,ASID,SOURCE_ID,SURFACE_MA,LENGTH_M,WIDTH_M,STARTX,STARTY,ENDX,ENDY,DATE_OF_CO,OWNER,CURRENT_MA,CURRENTLY_,SECTION,XSP,STCHAIN,ENDCHAIN,ASSET_LEN,_DBFOCODE,_SOURCE,CREATEDATE,START_DATE,WKT
A19_Cycle_Track_0,1,2600000001,ASPHALT,340.108339638,1.5,445333.687531201,521566.782316805,445467.686264216,521257.910730377,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/396,L2,626.15,970.76,344.61,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445333.687531201 521566.782316805,445467.686264216 521257.910730377)"
A19_Cycle_Track_0,2,2600000002,ASPHALT,130.852153659,1.5,445511.220186829,522079.875445425,445433.840288396,521974.375644429,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/396,L2,18.7,150.25,131.55,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445511.220186829 522079.875445425,445433.840288396 521974.375644429)"
A19_Cycle_Track_0,3,2600000003,ASPHALT,13.268453006,1.5,445519.374552258,522090.342449276,445511.220186829,522079.875445425,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/396,L2,5.6,18.7,13.1,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445519.374552258 522090.342449276,445511.220186829 522079.875445425)"
A19_Cycle_Track_0,4,2600000004,ASPHALT,9.207437493,1.2,445518.566536271,522086.153648308,445526.597225783,522081.714918881,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/396,LB,2.53,9,6.47,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445518.566536271 522086.153648308,445526.597225783 522081.714918881)"
A19_Cycle_Track_0,5,2600000005,ASPHALT,9.139900531,2,445345.840751264,521473.059144784,445353.813725348,521468.590423942,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,0700A19/396,L1,720.69,727.88,7.18999999999994,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(445345.840751264 521473.059144784,445353.813725348 521468.590423942)"
A19_Cycle_Track_0,6,2600000006,ASPHALT,328.281315614,2,441458.343912462,541802.37993724,441508.061630901,541477.932809264,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/615,L1,0,342.79,342.79,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(441458.343912462 541802.37993724,441508.061630901 541477.932809264)"
A19_Cycle_Track_0,7,2600000007,ASPHALT,86.182606056,1.5,441508.061630901,541477.932809264,441513.404430495,541391.997408017,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/615,L2,342.79,432.66,89.87,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(441508.061630901 541477.932809264,441513.404430495 541391.997408017)"
A19_Cycle_Track_0,8,2600000008,ASPHALT,40.251316472,1.5,441513.841418733,541382.370163787,441514.278406971,541342.121684794,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/615,L2,442.74,484.75,42.01,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(441513.841418733 541382.370163787,441514.278406971 541342.121684794)"
A19_Cycle_Track_0,9,2600000009,ASPHALT,106.314516274,1.5,441514.253671788,541335.433599239,441514.558739049,541229.124030036,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/615,L2,491.75,603.79,112.04,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(441514.253671788 541335.433599239,441514.558739049 541229.124030036)"
A19_Cycle_Track_0,10,2600000010,ASPHALT,16.927300921,2,441514.558739049,541229.124030036,441519.687167054,541212.998645879,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/615,L2,603.79,622.39,18.6,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(441514.558739049 541229.124030036,441519.687167054 541212.998645879)"
A19_Cycle_Track_0,11,2600000011,ASPHALT,2.916288784,2,441519.687167054,541212.998645879,441520.660084264,541210.249432833,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,1300A19/615,L1,622.39,625,2.61000000000001,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(441519.687167054 541212.998645879,441520.660084264 541210.249432833)"
A19_Footway_0,1,2600000001,CONCRETE,94.013668165,2,442102.777888123,479147.654665789,442138.437777386,479234.589780871,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/232,L1,455.24,549.8,94.5599999999999,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(442102.777888123 479147.654665789,442138.437777386 479234.589780871)"
A19_Footway_0,2,2600000002,CONCRETE,2.856221483,0.6,442101.903911647,479144.935444158,442102.777888123,479147.654665789,01-JAN-1000,11,DBFO (AREA) 26,AUTOLINK,2700A168/232,L1,452.37,455.24,2.87,DBFO26,ADC,27/09/2018 09:38:44,01-JAN-1000,"linestring(442101.903911647 479144.935444158,442102.777888123 479147.654665789)"
